cls_model,loss,is_default,status,req_arg_n_series,req_arg_S,req_arg_input_size,other_req_args,loss_arg_level,loss_arg_quantiles,loss_arg_distribution,loss_arg_q,config_patch_len,config_n_series,error_detail
AutoBiTCN,MAPE,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,MASE,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,MQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,MSE,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,NBMM,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,PMM,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,QuantileLayer,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,QuantileLoss,0,1,0,0,0,,0,0,0,1,,,
AutoBiTCN,RMSE,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,SMAPE,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,TukeyLoss,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,relMSE,0,1,0,0,0,,0,0,0,0,,,
AutoBiTCN,sCRPS,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,Accuracy,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,DistributionLoss,0,1,0,0,0,,0,0,1,0,,,
AutoDLinear,GMM,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,HuberIQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,HuberLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,HuberMQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,HuberQLoss,0,1,0,0,0,,0,0,0,1,,,
AutoDLinear,IQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,MAE,1,1,0,0,0,,0,0,0,0,,,
AutoDLinear,MAPE,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,MASE,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,MQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,MSE,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,NBMM,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,PMM,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,QuantileLayer,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,QuantileLoss,0,1,0,0,0,,0,0,0,1,,,
AutoDLinear,RMSE,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,SMAPE,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,TukeyLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,relMSE,0,1,0,0,0,,0,0,0,0,,,
AutoDLinear,sCRPS,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,Accuracy,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,DistributionLoss,0,1,0,0,0,,0,0,1,0,,,
AutoDeepAR,GMM,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,HuberIQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,HuberLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,HuberMQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,HuberQLoss,0,1,0,0,0,,0,0,0,1,,,
AutoDeepAR,IQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,MAE,1,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,MAPE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,MASE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,MQLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,MSE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,NBMM,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,PMM,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,QuantileLayer,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,QuantileLoss,0,1,0,0,0,,0,0,0,1,,,
AutoDeepAR,RMSE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,SMAPE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,TukeyLoss,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,relMSE,0,1,0,0,0,,0,0,0,0,,,
AutoDeepAR,sCRPS,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,Accuracy,0,1,0,0,0,,0,0,0,0,,,
AutoDeepNPTS,DistributionLoss,0,1,0,0,0,,0,0,1,0,,,
AutoDeepNPTS,GMM,0,1,0,0,0,,0,0,0,0,,,
