cls_model,backend,search_alg,status,error_detail
AutoNLinear,ray,Ray_HyperOpt,OK,
AutoNLinear,optuna,None,Error,Optuna Backend Requirement Error
AutoNLinear,optuna,Basic,Error,Optuna Backend Requirement Error
AutoNLinear,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoNLinear,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoPatchTST,ray,None,OK,
AutoPatchTST,ray,Basic,OK,
AutoPatchTST,ray,Ray_Optuna,OK,
AutoPatchTST,ray,Ray_HyperOpt,OK,
AutoPatchTST,optuna,None,Error,Optuna Backend Requirement Error
AutoPatchTST,optuna,Basic,Error,Optuna Backend Requirement Error
AutoPatchTST,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoPatchTST,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoRMoK,ray,None,OK,
AutoRMoK,ray,Basic,OK,
AutoRMoK,ray,Ray_Optuna,OK,
AutoRMoK,ray,Ray_HyperOpt,OK,
AutoRMoK,optuna,None,Error,Callable Expected Error
AutoRMoK,optuna,Basic,Error,Callable Expected Error
AutoRMoK,optuna,Ray_Optuna,Error,Callable Expected Error
AutoRMoK,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoRNN,ray,None,OK,
AutoRNN,ray,Basic,OK,
AutoRNN,ray,Ray_Optuna,OK,
AutoRNN,ray,Ray_HyperOpt,OK,
AutoRNN,optuna,None,Error,Optuna Backend Requirement Error
AutoRNN,optuna,Basic,Error,Optuna Backend Requirement Error
AutoRNN,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoRNN,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoSOFTS,ray,None,OK,
AutoSOFTS,ray,Basic,OK,
AutoSOFTS,ray,Ray_Optuna,OK,
AutoSOFTS,ray,Ray_HyperOpt,OK,
AutoSOFTS,optuna,None,Error,Callable Expected Error
AutoSOFTS,optuna,Basic,Error,Callable Expected Error
AutoSOFTS,optuna,Ray_Optuna,Error,Callable Expected Error
AutoSOFTS,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoStemGNN,ray,None,OK,
AutoStemGNN,ray,Basic,OK,
AutoStemGNN,ray,Ray_Optuna,OK,
AutoStemGNN,ray,Ray_HyperOpt,OK,
AutoStemGNN,optuna,None,Error,Callable Expected Error
AutoStemGNN,optuna,Basic,Error,Callable Expected Error
AutoStemGNN,optuna,Ray_Optuna,Error,Callable Expected Error
AutoStemGNN,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoTCN,ray,None,OK,
AutoTCN,ray,Basic,OK,
AutoTCN,ray,Ray_Optuna,OK,
AutoTCN,ray,Ray_HyperOpt,OK,
AutoTCN,optuna,None,Error,Optuna Backend Requirement Error
AutoTCN,optuna,Basic,Error,Optuna Backend Requirement Error
AutoTCN,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoTCN,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoTFT,ray,None,OK,
AutoTFT,ray,Basic,OK,
AutoTFT,ray,Ray_Optuna,OK,
AutoTFT,ray,Ray_HyperOpt,OK,
AutoTFT,optuna,None,Error,Optuna Backend Requirement Error
AutoTFT,optuna,Basic,Error,Optuna Backend Requirement Error
AutoTFT,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoTFT,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoTSMixer,ray,None,OK,
AutoTSMixer,ray,Basic,OK,
AutoTSMixer,ray,Ray_Optuna,OK,
AutoTSMixer,ray,Ray_HyperOpt,OK,
AutoTSMixer,optuna,None,Error,Callable Expected Error
AutoTSMixer,optuna,Basic,Error,Callable Expected Error
AutoTSMixer,optuna,Ray_Optuna,Error,Callable Expected Error
AutoTSMixer,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoTSMixerx,ray,None,OK,
AutoTSMixerx,ray,Basic,OK,
AutoTSMixerx,ray,Ray_Optuna,OK,
AutoTSMixerx,ray,Ray_HyperOpt,OK,
AutoTSMixerx,optuna,None,Error,Callable Expected Error
AutoTSMixerx,optuna,Basic,Error,Callable Expected Error
AutoTSMixerx,optuna,Ray_Optuna,Error,Callable Expected Error
AutoTSMixerx,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoTiDE,ray,None,OK,
AutoTiDE,ray,Basic,OK,
AutoTiDE,ray,Ray_Optuna,OK,
AutoTiDE,ray,Ray_HyperOpt,OK,
AutoTiDE,optuna,None,Error,Optuna Backend Requirement Error
AutoTiDE,optuna,Basic,Error,Optuna Backend Requirement Error
AutoTiDE,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoTiDE,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoTimeMixer,ray,None,OK,
AutoTimeMixer,ray,Basic,OK,
AutoTimeMixer,ray,Ray_Optuna,OK,
AutoTimeMixer,ray,Ray_HyperOpt,OK,
AutoTimeMixer,optuna,None,Error,Callable Expected Error
AutoTimeMixer,optuna,Basic,Error,Callable Expected Error
AutoTimeMixer,optuna,Ray_Optuna,Error,Callable Expected Error
AutoTimeMixer,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoTimeXer,ray,None,OK,
AutoTimeXer,ray,Basic,OK,
AutoTimeXer,ray,Ray_Optuna,OK,
AutoTimeXer,ray,Ray_HyperOpt,OK,
AutoTimeXer,optuna,None,Error,Callable Expected Error
AutoTimeXer,optuna,Basic,Error,Callable Expected Error
AutoTimeXer,optuna,Ray_Optuna,Error,Callable Expected Error
AutoTimeXer,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoTimesNet,ray,None,OK,
AutoTimesNet,ray,Basic,OK,
AutoTimesNet,ray,Ray_Optuna,OK,
AutoTimesNet,ray,Ray_HyperOpt,OK,
AutoTimesNet,optuna,None,Error,Optuna Backend Requirement Error
AutoTimesNet,optuna,Basic,Error,Optuna Backend Requirement Error
AutoTimesNet,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoTimesNet,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoVanillaTransformer,ray,None,OK,
AutoVanillaTransformer,ray,Basic,OK,
AutoVanillaTransformer,ray,Ray_Optuna,OK,
AutoVanillaTransformer,ray,Ray_HyperOpt,OK,
AutoVanillaTransformer,optuna,None,Error,Optuna Backend Requirement Error
AutoVanillaTransformer,optuna,Basic,Error,Optuna Backend Requirement Error
AutoVanillaTransformer,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoVanillaTransformer,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoiTransformer,ray,None,OK,
AutoiTransformer,ray,Basic,OK,
AutoiTransformer,ray,Ray_Optuna,OK,
AutoiTransformer,ray,Ray_HyperOpt,OK,
AutoiTransformer,optuna,None,Error,Callable Expected Error
AutoiTransformer,optuna,Basic,Error,Callable Expected Error
AutoiTransformer,optuna,Ray_Optuna,Error,Callable Expected Error
AutoiTransformer,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoxLSTM,ray,None,OK,
AutoxLSTM,ray,Basic,OK,
AutoxLSTM,ray,Ray_Optuna,OK,
AutoxLSTM,ray,Ray_HyperOpt,OK,
AutoxLSTM,optuna,None,Error,Optuna Backend Requirement Error
AutoxLSTM,optuna,Basic,Error,Optuna Backend Requirement Error
AutoxLSTM,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoxLSTM,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
