Model_Class,Target_Loss,Status,Recommended_Backend,Supported_Search_Algs,Min_H_Constraint,Required_Direct_Args,Recommended_Config,Loss_Init_Snippet,Notes
AutoAutoformer,MQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MQLoss(),Requires valid_loss
AutoAutoformer,MSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MSE(),Requires valid_loss
AutoAutoformer,NBMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},NBMM(),Requires valid_loss
AutoAutoformer,PMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},PMM(),Requires valid_loss
AutoAutoformer,QuantileLayer,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLayer(num_output=1),Requires valid_loss
AutoAutoformer,QuantileLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLoss(q=0.5),Requires valid_loss
AutoAutoformer,RMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},RMSE(),Requires valid_loss
AutoAutoformer,SMAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},SMAPE(),Requires valid_loss
AutoAutoformer,TukeyLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},TukeyLoss(),Requires valid_loss
AutoAutoformer,relMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},relMSE(),Requires valid_loss
AutoAutoformer,sCRPS,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},sCRPS(),Requires valid_loss
AutoBiTCN,Accuracy,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},Accuracy(),Requires valid_loss
AutoBiTCN,DistributionLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},DistributionLoss(distribution='Normal'),Requires valid_loss
AutoBiTCN,GMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},GMM(),Requires valid_loss
AutoBiTCN,HuberIQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberIQLoss(),Requires valid_loss
AutoBiTCN,HuberLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberLoss(),Requires valid_loss
AutoBiTCN,HuberMQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberMQLoss(),Requires valid_loss
AutoBiTCN,HuberQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberQLoss(q=0.5),Requires valid_loss
AutoBiTCN,IQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},IQLoss(),Requires valid_loss
AutoBiTCN,MAE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAE(),Requires valid_loss
AutoBiTCN,MAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAPE(),Requires valid_loss
AutoBiTCN,MASE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MASE(),Requires valid_loss
AutoBiTCN,MQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MQLoss(),Requires valid_loss
AutoBiTCN,MSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MSE(),Requires valid_loss
AutoBiTCN,NBMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},NBMM(),Requires valid_loss
AutoBiTCN,PMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},PMM(),Requires valid_loss
AutoBiTCN,QuantileLayer,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLayer(num_output=1),Requires valid_loss
AutoBiTCN,QuantileLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLoss(q=0.5),Requires valid_loss
AutoBiTCN,RMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},RMSE(),Requires valid_loss
AutoBiTCN,SMAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},SMAPE(),Requires valid_loss
AutoBiTCN,TukeyLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},TukeyLoss(),Requires valid_loss
AutoBiTCN,relMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},relMSE(),Requires valid_loss
AutoBiTCN,sCRPS,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},sCRPS(),Requires valid_loss
AutoDLinear,Accuracy,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},Accuracy(),Requires valid_loss
AutoDLinear,DistributionLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},DistributionLoss(distribution='Normal'),Requires valid_loss
AutoDLinear,GMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},GMM(),Requires valid_loss
AutoDLinear,HuberIQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberIQLoss(),Requires valid_loss
AutoDLinear,HuberLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberLoss(),Requires valid_loss
AutoDLinear,HuberMQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberMQLoss(),Requires valid_loss
AutoDLinear,HuberQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberQLoss(q=0.5),Requires valid_loss
AutoDLinear,IQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},IQLoss(),Requires valid_loss
AutoDLinear,MAE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAE(),Requires valid_loss
AutoDLinear,MAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAPE(),Requires valid_loss
AutoDLinear,MASE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MASE(),Requires valid_loss
AutoDLinear,MQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MQLoss(),Requires valid_loss
AutoDLinear,MSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MSE(),Requires valid_loss
