cls_model,backend,search_alg,status,limitation_detail
AutoNLinear,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoNLinear,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoNLinear,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoNLinear,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoNLinear,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoNLinear,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoPatchTST,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoPatchTST,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoPatchTST,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoPatchTST,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoPatchTST,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoPatchTST,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoPatchTST,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoPatchTST,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoPatchTST,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoPatchTST,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoPatchTST,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoPatchTST,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoRMoK,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoRMoK,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoRMoK,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoRMoK,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoRMoK,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoRMoK,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoRMoK,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoRMoK,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoRMoK,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoRMoK,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoRMoK,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoRMoK,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoRNN,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoRNN,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoRNN,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoRNN,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoRNN,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoRNN,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoRNN,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoRNN,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoRNN,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoRNN,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoRNN,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoRNN,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoSOFTS,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoSOFTS,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoSOFTS,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoSOFTS,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoSOFTS,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoSOFTS,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoSOFTS,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoSOFTS,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoSOFTS,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoSOFTS,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoSOFTS,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoSOFTS,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoStemGNN,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoStemGNN,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoStemGNN,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoStemGNN,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoStemGNN,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoStemGNN,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoStemGNN,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoStemGNN,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoStemGNN,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoStemGNN,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoStemGNN,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoStemGNN,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoTCN,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTCN,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTCN,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTCN,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTCN,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTCN,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTCN,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTCN,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTCN,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTCN,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTCN,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTCN,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTFT,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTFT,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTFT,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTFT,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTFT,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTFT,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTFT,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTFT,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTFT,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTFT,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTFT,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTFT,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTSMixer,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTSMixer,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTSMixer,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTSMixer,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTSMixer,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTSMixer,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTSMixer,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoTSMixer,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoTSMixer,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoTSMixer,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTSMixer,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTSMixer,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoTSMixerx,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTSMixerx,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTSMixerx,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTSMixerx,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTSMixerx,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTSMixerx,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTSMixerx,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoTSMixerx,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoTSMixerx,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoTSMixerx,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
