cls_model,backend,search_alg,status,note
AutoNBEATSx,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoNBEATSx,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoNBEATSx,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoNHITS,ray,Basic,✅ OK,
AutoNHITS,ray,Ray_OptunaSearch,✅ OK,
AutoNHITS,ray,Ray_HyperOptSearch,✅ OK,
AutoNHITS,ray,None,✅ OK,
AutoNHITS,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoNHITS,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoNHITS,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoNHITS,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoNLinear,ray,Basic,✅ OK,
AutoNLinear,ray,Ray_OptunaSearch,✅ OK,
AutoNLinear,ray,Ray_HyperOptSearch,✅ OK,
AutoNLinear,ray,None,✅ OK,
AutoNLinear,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoNLinear,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoNLinear,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoNLinear,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoPatchTST,ray,Basic,✅ OK,
AutoPatchTST,ray,Ray_OptunaSearch,✅ OK,
AutoPatchTST,ray,Ray_HyperOptSearch,✅ OK,
AutoPatchTST,ray,None,✅ OK,
AutoPatchTST,optuna,Basic,❌ Error,You have to provide a function that takes a trial ...
AutoPatchTST,optuna,Ray_OptunaSearch,❌ Error,You have to provide a function that takes a trial ...
AutoPatchTST,optuna,Ray_HyperOptSearch,❌ Error,You have to provide a function that takes a trial ...
AutoPatchTST,optuna,None,❌ Error,You have to provide a function that takes a trial ...
AutoRMoK,ray,Basic,✅ OK,
AutoRMoK,ray,Ray_OptunaSearch,✅ OK,
AutoRMoK,ray,Ray_HyperOptSearch,✅ OK,
AutoRMoK,ray,None,✅ OK,
AutoRMoK,optuna,Basic,❌ Error,'dict' object is not callable...
AutoRMoK,optuna,Ray_OptunaSearch,❌ Error,'dict' object is not callable...
AutoRMoK,optuna,Ray_HyperOptSearch,❌ Error,'dict' object is not callable...
AutoRMoK,optuna,None,❌ Error,'dict' object is not callable...
AutoRNN,ray,Basic,✅ OK,
